title,summary,page_length,categories,revision_count,creation_date,last_edit_date,pageviews_since_2015,last_revid,touched,external_links,lang_links,top_contributors,backlinks
1968 Valdostan regional election,"The Valdostan regional election of 1968 took place on 21 April 1968.
The alliance of 1966 was initially confirmed, but political instability arose after a first change in 1969, until the local Christian Democracy broke up in 1970.",2071,Category:1968 elections in Italy;Category:Elections in Aosta Valley,27,2008-11-19T21:24:54Z,2023-09-28T12:34:38Z,5145,1177606715,2025-05-23T09:22:48Z,https://web.archive.org/web/20110722091126/http://www.cattaneo.org/archivi/adele/regioni/speciale.xls;https://web.archive.org/web/20110110203825/http://www.consiglio.regione.vda.it/storia/legislatura_5_i.asp,Eleccions regionals de la Vall d'Aosta de 1968;Regionalwahl im Aostatal 1968;Élections régionales de 1968 en Vallée d'Aoste;Elezioni regionali in Valle d'Aosta del 1968,InternetArchiveBot;ClueBot NG;Addbot;Ira Leviton;TheSandBot;Hugo999;Lowercase sigmabot;Full-date unlinking bot;Checco;RJFF;SassoBot;Scia Della Cometa;Barlafus;Herohamp,Valdostan Union;Valdostan Rally (1963);Politics of Aosta Valley;2008 Valdostan regional election;Elections in Aosta Valley;2003 Valdostan regional election;1998 Valdostan regional election;Template:Elections in Aosta Valley;1993 Valdostan regional election;1988 Valdostan regional election;1983 Valdostan regional election;1978 Valdostan regional election;1973 Valdostan regional election;1963 Valdostan regional election;1949 Valdostan regional election;1954 Valdostan regional election;1959 Valdostan regional election;2008 Italian general election in Aosta Valley;2006 Italian general election in Aosta Valley;2004 European Parliament election in Aosta Valley
2004 in King of the Cage,"The year 2004 is the sixth year in the history of King of the Cage, a mixed martial arts promotion based in the United States. In 2004 King of the Cage held 14 events, KOTC 32: Bringing Heat.",33158,Category:2004 in mixed martial arts;Category:Articles with short description;Category:King of the Cage events;Category:Short description matches Wikidata,26,2014-10-06T15:33:51Z,2022-10-08T02:13:40Z,58296,1114748306,2025-05-28T18:23:54Z,http://www.sherdog.com/events/KOTC-32-Bringing-Heat-2104;http://www.sherdog.com/events/KOTC-33-After-Shock-2148;http://www.sherdog.com/events/KOTC-34-Ohio-2168;http://www.sherdog.com/events/KOTC-35-Acoma-2818;http://www.sherdog.com/events/KOTC-36-Albuquerque-2343;http://www.sherdog.com/events/KOTC-37-Unfinished-Business-2390;http://www.sherdog.com/events/KOTC-39-Hitmaster-2504;http://www.sherdog.com/events/KOTC-New-Mexico-2528;http://www.sherdog.com/events/KOTC-41-Relentless-2568;http://www.sherdog.com/events/KOTC-42-Buckeye-Nuts-2574;http://www.sherdog.com/events/KOTC-Sunland-Park-2656;http://www.sherdog.com/events/KOTC-44-Revenge-2677;http://www.sherdog.com/events/KOTC-45-King-of-the-Cage-45-2673;http://www.sherdog.com/events/KOTC-Hostile-Takeover-2746;https://web.archive.org/web/20141009182241/http://www.sherdog.com/events/KOTC-32-Bringing-Heat-2104;https://web.archive.org/web/20141009182251/http://www.sherdog.com/events/KOTC-33-After-Shock-2148;https://web.archive.org/web/20141009182245/http://www.sherdog.com/events/KOTC-34-Ohio-2168;https://web.archive.org/web/20141009182101/http://www.sherdog.com/events/KOTC-35-Acoma-2818;https://web.archive.org/web/20141009182425/http://www.sherdog.com/events/KOTC-36-Albuquerque-2343;https://web.archive.org/web/20141009182235/http://www.sherdog.com/events/KOTC-37-Unfinished-Business-2390;https://web.archive.org/web/20141009182412/http://www.sherdog.com/events/KOTC-39-Hitmaster-2504;https://web.archive.org/web/20141009182001/http://www.sherdog.com/events/KOTC-New-Mexico-2528;https://web.archive.org/web/20141009182238/http://www.sherdog.com/events/KOTC-41-Relentless-2568;https://web.archive.org/web/20141009182408/http://www.sherdog.com/events/KOTC-42-Buckeye-Nuts-2574;https://web.archive.org/web/20141009182403/http://www.sherdog.com/events/KOTC-Sunland-Park-2656;https://web.archive.org/web/20141009182416/http://www.sherdog.com/events/KOTC-44-Revenge-2677;https://web.archive.org/web/20141009182057/http://www.sherdog.com/events/KOTC-45-King-of-the-Cage-45-2673;https://web.archive.org/web/20141009182004/http://www.sherdog.com/events/KOTC-Hostile-Takeover-2746,,InternetArchiveBot;Cassiopeia;KolbertBot;Randykitty;John of Reading;DannyS712;GoodDay;Explicit;Liz;GreenC bot;Kevlar;Monkbot;PetarEllis,Takumi Nakayama;Dan Severn;King of the Cage;Diego Sanchez;Joe Stevenson;Vernon White (fighter);Herb Dean;Paul Buentello;Charles Bennett (fighter);Dan Christison;Marvin Eastman;Shonie Carter;Charles McCarthy (fighter);Travis Fulton;Urijah Faber;Rory Singer;Joey Villaseñor;Eric Pele;David Heath (fighter);Wilson Gouveia
2010 World Touring Car Championship,"The 2010 World Touring Car Championship season was the seventh season of the FIA World Touring Car Championship, and the sixth since its 2005 return. It began with the Race of Brazil at Curitiba on 7 March and ended with the Guia Race of Macau at the Guia Circuit on 21 November, after twenty-two races at eleven events. The championship was open to both Super 2000 and Diesel 2000 cars.
A new points system was introduced for the championship in 2010, in alignment with that used for both the Formula One World Championship and the World Rally Championship. The winner of each race received 25 points, continuing with 18, 15, 12, 10, 8, 6, 4, 2 and 1 point for 10th place.
In the week leading up to the final event in Macau, 2008 champion [[smail sbai] was confirmed as Drivers' Champion after the BMWs of Augusto Farfus and title rival Andy Priaulx were excluded from the results of the event in Japan, after the FIA overturned a stewards' decision allowing the BMWs to run sequential gearboxes. Chevrolet was awarded the Manufacturers' Championship title.",90393,Category:2010 World Touring Car Championship season;Category:Articles with short description;Category:Short description matches Wikidata,565,2009-06-24T15:34:38Z,2025-05-15T13:59:08Z,62159,1290551381,2025-05-29T09:56:31Z,http://argent.fia.com/web/fia-public.nsf/D4416CB6657BD858C125769400429264/$FILE/2010%20WTCC%20Sporting%20Regulations.11.03.pdf;http://www.autosport.com/news/report.php/id/81758;http://www.fiawtcc.com/html/uploadedFiles/docs/2010_WTCC%20Full%20season%20entry%20list.pdf;http://www.autosport.com/news/report.php/id/76496;http://www.autosport.com/news/report.php/id/79652;http://www.autosport.com/news/report.php/id/81921;http://www.fiawtcc.com/Read_News.asp?idnews=575;http://fiawtcc.com/Read_News.asp?idnews=639;http://www.fiawtcc.com/Read_News.asp?idnews=742;https://web.archive.org/web/20101123030446/http://fiawtcc.com/Read_News.asp?idnews=742;https://web.archive.org/web/20091024115916/http://www.autosport.com/news/report.php/id/79652;http://www.autosport.com/news/report.php/id/85763;https://web.archive.org/web/20100803001025/http://www.autosport.com/news/report.php/id/85763;https://web.archive.org/web/20180706075947/https://www.autosport.com/wtcr/news/81889/rookie-class-added-to-wtcc;https://web.archive.org/web/20101214025642/http://fiawtcc.com/;https://web.archive.org/web/20110711000135/http://fiawtcc.com/Read_News.asp?idnews=639;https://www.webcitation.org/5vLf8uMHx?url=http://www.fiawtcc.com/html/uploadedFiles/docs/2010_FIA_WTCC_Yokohama_Trophies.pdf;https://web.archive.org/web/20110404001053/http://argent.fia.com/web/fia-public.nsf/D4416CB6657BD858C125769400429264/$FILE/2010%20WTCC%20Sporting%20Regulations.11.03.pdf;https://web.archive.org/web/20101214104814/http://fiawtcc.com/html/uploadedFiles/Class/standings.championship.pdf;https://web.archive.org/web/20101214104528/http://fiawtcc.com/html/uploadedFiles/Class/standings.trophies.pdf;https://web.archive.org/web/20130921201809/http://argent.fia.com/web/fia-public.nsf/BBC9E490B1212043C1257690004147F0/$FILE/263%20(10-11).pdf;https://web.archive.org/web/20101121221647/http://argent.fia.com/web/fia-public.nsf/E7BD5F8737B9F304C12576900041726E/$FILE/263D%20(2010)-031209.pdf,Campionat Mundial de Turismes de 2010;Tourenwagen-Weltmeisterschaft 2010;Temporada 2010 del Campeonato Mundial de Turismos;Championnat du monde des voitures de tourisme 2010;2010-es túraautó-világbajnokság;WTCC 2010;2010年の世界ツーリングカー選手権;WTCC seizoen 2010;World Touring Car Championship 2010;Чемпионат мира среди легковых автомобилей 2010;World Touring Car Championship 2010,InternetArchiveBot;AnomieBOT;Citation bot;Pigsonthewing;KolbertBot;John of Reading;Addbot;Armbrust;Corvus tristis;Xqbot;Neils51;DH85868993;Cs-wolves;DASHBot;GreenC bot;WOSlinker;Jahn1234567890;Luckas-bot;VolkovBot;TXiKiBoT;SporkBot;GTHO;BaboneCar;Officially Mr X;WikHead;Thecatwhogotthemilk;Lucullus19;Samster80;Drbreznjev;Monkbot;Paul A;Inwind;Falcadore;Morio;QueenCake;Vin28rol;Danny 93;Usien6;Conti;林道暴走隊;Kusunose;Jonathan McLeod;Db1987db;Mdavid89;AKappa;PrettyP;MotorsportPete93;Chatfecter;MondalorBot;MGGK;Liruqi;Emanueleastore;EleferenBot;Christian478;Дос Сантуш;Catabv23;Darkcount192;Kevintjeerdsma1996;JGMspt20;Robk23oxf;Kuguar03;Jabollok02;Alex95-Ukraine;Matthew23415;F1racer96;Luluvit;Riccer;Aadirulez8;Forty-1987;Carfan568;Flemmish Nietzsche;IntentionallyDense,Volvo Cars;Andy Priaulx;Gabriele Tarquini;José María López;World Touring Car Championship;Frank Biela;Yvan Muller;Paul Radisich;Roberto Ravaglia;Tom Boardman (racing driver);Robert Huff;Tom Coronel;2006 World Touring Car Championship;2005 World Touring Car Championship;2007 World Touring Car Championship;1987 World Touring Car Championship;Template:WTCC seasons;Thed Björk;Augusto Farfus;2008 World Touring Car Championship
Basher Kill,"Basher Kill is a stream in Orange and Sullivan counties in the U.S. state of New York. It is a tributary to the Neversink River.
The stream headwaters are at 41°35′10″N 74°27′58″W and elevation of approximately 540 feet in Sullivan County just north of Wurtsboro and connected to the Delaware and Hudson Canal. The stream flows to the southwest paralleling U.S. Route 209 passing under New York Route 17 southeast of Wurtsboro. The stream enters Orange County at the village of Westbrookville. The stream continues to the southwest crossing under New York Route 211 to its confluence with the Neversink River at 41°26′58″N 74°35′35″W at an elevation of 459 feet. The confluence is just northeast of the community of Myers Grove.
Basher Kill was named after Bashee, a local Native American woman. Many variant spellings have been recorded, including ""Ba-sha Kill"", ""Basha's Kill"", ""Basher's Kill"", ""Bashers Kil"", Bashers Kill"", and ""Bashes Kil"".
The stream flows through Basha Kill Wildlife Management Area, a manmade wetland maintained by the New York State Department of Environmental Conservation (NYSDEC) as a New York State Wildlife Management Area. The NYSDEC built a dam along the watercourse in the 1970s to preserve the Basha Kill and its wildlife.",3752,"Category:All Wikipedia articles written in American English;Category:All stub articles;Category:Articles with short description;Category:Coordinates on Wikidata;Category:New York (state) river stubs;Category:Pages using gadget WikiMiniAtlas;Category:Rivers of Orange County, New York;Category:Rivers of Sullivan County, New York;Category:Short description is different from Wikidata;Category:Use American English from February 2025",9,2018-03-10T06:58:38Z,2025-02-04T23:58:29Z,9666,1273996622,2025-05-28T20:34:17Z,https://books.google.com/books?id=ivopAQAAMAAJ&pg=PA392;http://thebashakill.org/basha-kill/;https://geohack.toolforge.org/geohack.php?pagename=Basher_Kill&params=41_26_58_N_74_35_35_W_;https://geohack.toolforge.org/geohack.php?pagename=Basher_Kill&params=41_35_10_N_74_27_58_W_;https://edits.nationalmap.gov/apps/gaz-domestic/public/search/names/974184;https://geohack.toolforge.org/geohack.php?pagename=Basher_Kill&params=41_31_17_N_74_32_23_W_;https://geohack.toolforge.org/geohack.php?pagename=Basher_Kill&params=41_26_58_N_74_35_35_W_type:river,Basher Kill;巴舍溪,Gjs238;Gilliam;Vsmith;GeorgeofOrange,Falun Gong;List of rivers of New York;Basher;Basha Kill Wildlife Management Area;Basha Kill;List of Delaware River tributaries;Bashakill;Dragon Springs;Talk:Basher Kill
Broadcasting in Chennai,"Broadcasting in the city of Chennai began in 1924 by the Madras Presidency Radio Club. The service was operational till the government-run All India Radio started broadcasting in the city in 1938.
Currently, the city has 4 AM and 11 FM radio stations operated by All India Radio, Anna University and Suryan FM, Radio Mirchi, BIG FM, Hello FM, Radio City, Radio One among others.

",5322,Category:1924 establishments in India;Category:All India Radio;Category:All Wikipedia articles written in Indian English;Category:Articles with short description;Category:Culture of Chennai;Category:Public radio;Category:Radio broadcasting companies of India;Category:Radio stations established in 1924;Category:Radio stations in India;Category:Short description with empty Wikidata description;Category:State media;Category:Use Indian English from July 2019;Category:Use dmy dates from July 2019;Category:Webarchive template wayback links,17,2018-07-28T12:23:24Z,2023-10-28T07:04:46Z,24464,1182270295,2025-05-25T03:56:42Z,https://www.thehindu.com/society/history-and-culture/air-chennais-80-year-journey/article23947443.ece;http://allindiaradio.gov.in/Profile/Milestones;https://www.thehindubusinessline.com/news/national/air-chennai-to-mark-80-years-of-service-with-special-programmes/article24171246.ece;https://web.archive.org/web/20100612212622/http://allindiaradio.org/milestone.html;http://allindiaradio.org/milestone.html;http://allindiaradio.gov.in/;https://web.archive.org/web/20120505053343/http://india.gov.in/knowindia/radio.php;http://onlinetps.com/resources/AIR_radio_frequency_list.htm;http://airworldservice.org/;http://chennai.nic.in/chndistprof.htm#evt;https://web.archive.org/web/20130730180830/http://chennai.nic.in/chndistprof.htm#evt;https://web.archive.org/web/20140605120519/http://onlinetps.com/resources/AIR_radio_frequency_list.htm,சென்னை நகரில் ஒலிபரப்பு,,"Chennai;Kalakshetra Foundation;Theosophical Society Adyar;Theosophical Society;Madras Institute of Technology;Marina Beach;Chennai International Airport;Adyar, Chennai;Anna University;Buckingham Canal;Fort St. George;Kapaleeshwarar Temple;Loyola College, Chennai;Presidency College, Chennai;Indian Bank;Indian Overseas Bank;Mylapore;Parthasarathy Temple, Chennai;Ashtalakshmi Temple, Chennai;DG Vaishnav College"
Dan Hannon,"Dan Hannon is an American record producer, audio engineer, mixer, songwriter, and musician best known for his work with the band Manchester Orchestra. His works have been streamed over one billion times. And he has produced, co-produced, co-written, and performed on albums that have sold over 4.5 million copies. His current Billboard chart success includes two number-one albums, three number-one songs, 13 top ten albums, 15 top 20 albums, three top ten rock albums, and four top ten alternative albums.
In 2007, Manchester Orchestra released their debut album, 'I'm Like A Virgin Losing A Child', which Hannon produced.  In 2007.5, he was enlisted to co-produce their second release, Mean Everything To Nothing with Joe Chiccarelli, resulting in the top 10 rock hit ""I've Got Friends"". Along with the band he produced the Simple Math album, which was released on May 10, 2011. He subsequently produced their follow-up album Cope, which was released on April 1, 2014.  Hannon has played an instrumental role in virtually every commercial recording released by the band and he continues to be a frequent collaborator with frontman Andy Hull.
Hannon produced, recorded, mixed, and co-wrote ""Anything Worth Saying"" by Aaron Shust, which became the number one Christian record in 2006 and was nominated for six Dove Awards, winning three at the 38th GMA Dove Awards. The song ""My Savior My God"" is Billboard's number two Christian/Gospel song of the decade of the 2000s. Hannon was nominated for a Dove Award for 'Pop Contemporary Album' of the year in 2007 for Shust's second release, Whispered and Shouted.",8915,Category:1973 births;Category:All BLP articles lacking sources;Category:All articles with a promotional tone;Category:American record producers;Category:American rock musicians;Category:Articles with a promotional tone from February 2013;Category:Articles with hCards;Category:Articles with multiple maintenance issues;Category:Articles with short description;Category:BLP articles lacking sources from September 2010;Category:Living people;Category:Place of birth missing (living people);Category:Short description is different from Wikidata;Category:Short description matches Wikidata;Category:Use mdy dates from February 2013;Category:Wikipedia articles needing clarification from January 2015;Category:Wikipedia articles needing clarification from September 2010,177,2010-08-16T21:27:16Z,2024-12-02T10:32:01Z,27450,1260740278,2025-05-13T13:40:30Z,http://www.discogs.com/artist/Dan+Hannon;http://www.grammy365.com/users/danhannon;http://allmusic.com/cg/amg.dll?p=amg&searchlink=DAN%7CHANNON&sql=11:wzfqxqujldke~T4;https://www.jstor.org/action/doBasicSearch?Query=%22Dan+Hannon%22&acc=on&wc=on;https://musicbrainz.org/artist/8c926a57-0790-43c7-8413-3475471be87b;http://theaudioperv.com/2009/08/03/mediabase-airplay-charts-alternative-active-rock-mainstream-rock-8309/;https://www.wikidata.org/wiki/Q5213636#identifiers;https://archive.today/20130124193613/http://www.grammy365.com/users/danhannon;https://www.google.com/search?as_eq=wikipedia&q=%22Dan+Hannon%22;https://www.google.com/search?tbm=nws&q=%22Dan+Hannon%22+-wikipedia&tbs=ar:1;https://www.google.com/search?&q=%22Dan+Hannon%22&tbs=bkt:s&tbm=bks;https://www.google.com/search?tbs=bks:1&q=%22Dan+Hannon%22+-wikipedia;https://scholar.google.com/scholar?q=%22Dan+Hannon%22,دان هانون;دان هانون,InternetArchiveBot;AnomieBOT;Bearcat;Praxidicae;BD2412;Vanamonde93;ClueBot NG;PrimeBOT;Niceguyedc;Ohconfucius;Arjayay;Tom.Reding;SmackBot;Rjwilmsi;Yobot;Magioladitis;Aboutmovies;KasparBot;Ravenpuff;Derek R Bullamore;Explicit;Waacstats;Richard3120;Avicennasis;ImageRemovalBot;KConWiki;GreenC bot;Rms125a@hotmail.com;Royalbroil;Melonkelon;Monkbot;SoxBot;Calvin999;Lennart97;WikiCleanerBot;Makyen;Hairhorn;Dhpage;JimmyButler;Therealshawnspencer;Eldest Only;Archaiccannon;ChipperPlays;Danhannon;SdkbBot;KerkyWasTaken;VadimCr;Freakyfishy;CraneWave;Rafsan848;Teile;Theprussianbard;MagoLass;Ehyoitsdavid;Mswbassplayer;Melbroads;TheDolbinator;Samuel Ekhator;Datamallsoup,"Daniel Hannan;Aaron Shust;Manchester Orchestra;I'm Like a Virgin Losing a Child;Anything Worth Saying;50 Records;Whispered and Shouted;Let My Pride Be What's Left Behind;Mean Everything to Nothing;My Savior My God;User:Therealshawnspencer/danhannon;Danhannon;Talk:Dan Hannon;Wikipedia:Article wizard/version1/List of articles created by the article wizard./12:34, 25 September 2010 (UTC);User:Tony Sidaway/Living people/tranche 035;Simple Math;Category:Albums produced by Dan Hannon;The Shadowboxers;Cope (Manchester Orchestra album);List of people named Daniel"
Flandria,"Flandria may refer to a number of things.

Club Social y Deportivo Flandria, an Argentine football team
SS Flandria, a Dutch merchant ship
Heinrich Isaac, a 15th-century composer, known as ""Ugonis de Flandria""
Flandria (cycling team), cycling team active 1957–1979
The Latin name for Flanders (a county of Belgium).
Another name for Boteka",396,Category:All article disambiguation pages;Category:All disambiguation pages;Category:Disambiguation pages;Category:Short description is different from Wikidata,11,2009-12-07T10:48:50Z,2022-04-14T19:49:01Z,31786,1082737879,2025-05-13T13:35:14Z,,Flandria;Flandria;Flandria (argipena);Flandria;Flanders (disambiguasi);Flandria;Flandria;Flandria (doorverwijspagina);Flandria,Mjroots;Addbot;Chris the speller;Iridescent;Severo;Thijs!bot;Oupals;Caudex Rax;Peter Mercator;Moondragon21,User talk:Xelo16;Flandria (disambiguation)
Grahame Smith,"Grahame Thomas Smith  (born 8 January 1959) is a Scottish former trade unionist, who served as General Secretary of the Scottish Trades Union Congress (STUC).",1897,Category:1959 births;Category:All BLP articles lacking sources;Category:All stub articles;Category:Alumni of the University of Strathclyde;Category:Articles with short description;Category:BLP articles lacking sources from April 2012;Category:British trade unionist stubs;Category:Commanders of the Order of the British Empire;Category:General secretaries of the Scottish Trades Union Congress;Category:Living people;Category:Pages containing London Gazette template with parameter supp set to y;Category:People educated at Bishopbriggs High School;Category:Scottish people stubs;Category:Short description matches Wikidata;Category:Use British English from April 2017;Category:Use dmy dates from April 2017,62,2009-09-23T16:26:36Z,2025-04-28T12:39:02Z,19917,1287781521,2025-04-28T12:39:02Z,http://www.ictu.ie/press/2009/07/09/address-by-grahame-smith-stuc/;http://www.stuc.org.uk/;https://www.jstor.org/action/doBasicSearch?Query=%22Grahame+Smith%22&acc=on&wc=on;https://doi.org/10.1093%2Fww%2F9780199540884.013.U246236;https://www.google.com/search?as_eq=wikipedia&q=%22Grahame+Smith%22;https://www.google.com/search?tbm=nws&q=%22Grahame+Smith%22+-wikipedia&tbs=ar:1;https://www.google.com/search?&q=%22Grahame+Smith%22&tbs=bkt:s&tbm=bks;https://www.google.com/search?tbs=bks:1&q=%22Grahame+Smith%22+-wikipedia;https://scholar.google.com/scholar?q=%22Grahame+Smith%22;https://www.thegazette.co.uk/London/issue/63571/supplement/N10,,InternetArchiveBot;Citation bot;Necrothesp;Joe Decker;XLinkBot;Ser Amantio di Nicolao;Yobot;Magioladitis;BrownHairedGirl;PatGallacher;Pegship;BG19bot;Waacstats;Dl2000;Warofdreams;FrescoBot;BattyBot;DoctorKubla;OGBC1992;Drchriswilliams;Mais oui!;Hallaway;ScottishTUC;Eggbert5;Hearcenkl1;JJMC89 bot III;Sahaib;Rlink2;Zsohl;Alpha Piscis Austrini;Jvneslvt,Dolores Ibárruri;Graham Smith;Cleo (magazine);Grahame;Portal:Organized Labour/Featured Union;Portal:Organized Labour/Featured Union/29;Bishopbriggs Academy;Arthur Dooley;User:AlexNewArtBot/ScotlandSearchResult/archive13;Bill Speirs;General Secretary of the Scottish Trades Union Congress;Talk:Grahame Smith;User:Tony Sidaway/Living people/tranche 033;Scottish football referee strike;User talk:Smartyllama/Archive 7;Wikipedia:WikiProject Wikify/Drives/2012/April/Log;User talk:PatGallacher/Archive 2;Roz Foyer;User talk:86.7.237.114;2022 New Year Honours
Grand Union Canal Carrying Company,The Grand Union Canal Carrying Company was a freight carrying transport service in England from 1934 to 1948.,3669,Category:1934 establishments in England;Category:1948 establishments in England;Category:Articles with short description;Category:Canals in England;Category:Short description matches Wikidata;Category:Transport companies based in London;Category:Transport companies disestablished in 1948;Category:Transport companies established in 1934;Category:Use British English from May 2017;Category:Use dmy dates from March 2025,38,2009-12-18T18:54:15Z,2025-03-03T22:47:36Z,14927,1278674914,2025-05-29T15:59:03Z,https://measuringworth.com/datasets/ukearncpi/,,Citation bot;Acabashi;Mauls;Dawnseeker2000;Neiltonks;Doprendek;Ttwaring;Rich Farmbrough;Magic links bot;Dl2000;Helpful Pixie Bot;CorenSearchBot;GrindtXX;Theleftorium;Andrewrabbott;Trident13;BHGbot;Simon Seabagh,Grand Union Canal;British Transport Commission;Wooden Canal Boat Society;User:AlexNewArtBot/ShipsSearchResult/archive9;User:AlexNewArtBot/WaterbodiesSearchResult/archive23;W. J. Yarwood & Sons;Wikipedia:Copyright problems/2009 December 18;Wikipedia:Suspected copyright violations/2009-12-18;User:AlexNewArtBot/TestFeedSearchResult/archive100;Talk:Grand Union Canal Carrying Company;W. H. Walker and Brothers;Bristol Packet Boat Trips;Mikron Theatre Company;Maidens' Trip;Boatwomen's training scheme
I'm Too Sensitive for This Shit,"I'm Too Sensitive for This Shit is the fourth extended play by American pop singer Hayley Kiyoko. Originally set to be released October 11, 2019 and later December 12, 2019, it was eventually released January 14, 2020 via Empire Distribution and Atlantic Records.
I'm Too Sensitive for This Shit came out single by single, being the EP's release date the same day as the last one was unveiled. It was preceded by the singles ""I Wish"", ""Demons"", ""L.O.V.E. Me"", ""Runaway"" and ""She"".",6111,Category:2020 EPs;Category:Album articles lacking alt text for covers;Category:Articles with hAudio microformats;Category:Articles with short description;Category:Atlantic Records EPs;Category:CS1 maint: archived copy as title;Category:Empire Distribution EPs;Category:Hayley Kiyoko EPs;Category:Short description matches Wikidata;Category:Track listings with input errors;Category:Use mdy dates from May 2025,42,2019-10-09T19:02:43Z,2025-05-18T11:28:13Z,31373,1290991857,2025-05-18T11:28:13Z,https://www.discogs.com/master/1678780;https://www.billboard.com/articles/news/pride/8520536/hayley-kiyoko-i-wish-video;https://www.rollingstone.com/music/music-news/hayley-kiyoko-i-wish-new-song-video-859163;https://www.teenvogue.com/story/hayley-kiyoko-she-music-video;https://www.amazon.com/Too-Sensitive-This-Shit-Explicit/dp/B07YQV1KTC;https://www.allmusic.com/album/mw0003343863;https://www.rollingstone.com/music/music-features/hayley-kiyoko-interview-new-song-project-tour-896859/;https://readdork.com/news/hayley-kiyoko-has-finished-her-im-too-sensitive-for-this-shit-with-a-brand-new-track-she/;https://www.ascap.com/repertory#/ace/search/writer/jason%20evigan/title/i%20wish?at=false&searchFilter=SVW&page=1;https://web.archive.org/web/20170206145055/https://www.ascap.com/repertory#/ace/search/writer/jason%20evigan/title/i%20wish?at=false&searchFilter=SVW&page=1,,,Demon (disambiguation);Hayley Kiyoko;The Stunners;Jason Evigan;This Side of Paradise (EP);Hayley Kiyoko discography;Girls Like Girls;Citrine (EP);Expectations (Hayley Kiyoko album);Template:Hayley Kiyoko;Curious (Hayley Kiyoko song);Feelings (Hayley Kiyoko song);Expectations Tour;What I Need (Hayley Kiyoko song);List of 2020 albums;I'm Too Sensitive For This Shit;Demons (Hayley Kiyoko song);Talk:I'm Too Sensitive for This Shit;Wikipedia:WikiProject Stub sorting/Proposals/Archive/2021/January;File:Hayley Kiyoko - Im Too Sensitive for This Shit album cover.jpg
