EditType,EditID,comment,isvandalism,user,user_edit_count,user_distinct_pages,user_warns,user_reg_time,prev_user,page_made_time,title,namespace,creator,num_recent_edits,num_recent_reversions,current_minor,current_timestamp,previous_timestamp,num_revisions_3d_before,num_revisions_3d_after
change,327231971,Replacing {{IPAr|pl| with {{IPAc-pl|,false,Chris G,20253,0,5,1156663762,Kotniski,1195818250,Mojesz,main,Kotbot,0,0,true,1258863344,1248560588,1,0
change,327232052,/* Reception */  Fixed obvious typos,false,4.90.58.167,1,1,0,20091122041616,118.93.7.40,1251502948,Live_at_Reading,main,Scentlessapprentice,0,0,false,1258863376,1258794290,5,0
change,327232115,,false,Rontrigger,20508,8470,0,1174853655,66.150.159.10,1133744042,Paul_Moyer,main,TVXPert,0,0,true,1258863410,1255565411,1,0
change,327232194,/* Plot */,false,163.192.13.105,2,2,0,20091122041727,216.249.95.247,1102477107,Night_of_the_Living_Dead_(1990_film),main,Altermoor,0,0,false,1258863447,1257058667,1,0
change,327232220,/* Biography */,true,173.188.137.39,6,3,0,20091122041742,173.188.137.39,1040537888,Tré_Cool,main,Prefect,0,0,false,1258863462,1258863191,12,0
change,327232501,,false,112.118.163.148,4,1,0,20091122041953,LucienBOT,1155215618,All_About_Ah-Long,main,Olivier,0,0,false,1258863593,1257624064,1,0
change,327232632,Reverted edits by [[Special:Contributions/68.174.72.186|68.174.72.186]] to last revision by Underwatercolor ([[WP:HG|HG]]),false,Falcon8765,83746,52500,13,1172539636,68.174.72.186,1077980739,Scarf,main,Radagast,1,0,true,1258863657,1258863651,2,0
change,327233017,/* Origins and recording */,false,Rafablu88,9239,534,0,1237665841,Rafablu88,1211894389,Fantasy_Black_Channel,main,Electric dave,0,0,true,1258863834,1258863559,41,0
change,327233218,add reception section,false,BOZ,92427,31636,15,1138677386,90.219.158.85,1066226987,Doom_II,main,Frecklefoot,0,0,false,1258863942,1258821312,3,0
change,327233267,/* Substantive law */  added an external link to a well respected legal dictionary,false,74.68.59.148,2,2,0,20091122042607,Coolcaesar,1030667303,Law_of_the_United_States,main,Netesq,0,0,false,1258863967,1258830393,3,0
change,327233416,"/* Television series */ no fair-use rationale, and not the subject of significant discussion in article",false,EEMIV,50723,11565,2,1121464462,Jaspreetsinghlidder,1081666685,USS_Enterprise_(NCC-1701),main,172.153.15.169,0,0,false,1258864048,1258861850,2,0
change,327233577,,false,Deadlyfries,373,42,0,1219864228,Deadlyfries,1105256887,Ra_(American_band),main,Uniquetica,0,0,false,1258864142,1258861350,0,0
change,327233596,/* Principles of Design */,false,174.0.167.145,499,42,4,20091122042913,174.0.167.145,1129602957,Visual_design_elements_and_principles,main,216.255.220.43,0,0,false,1258864153,1258864085,17,0
change,327233598,/* Game log */,false,96.22.4.49,5,2,0,20091122042914,99.253.140.20,1246444277,2009–10_Montreal_Canadiens_season,main,Piemann16,0,0,false,1258864154,1258858884,4,0
change,327233602,/* Occurrence */ cleanup,false,Aeusoes1,38473,13558,0,1119464022,24.235.188.174,1170272113,Near-close_near-back_rounded_vowel,main,FilipeS,0,0,true,1258864156,1258319066,1,0
change,327233697,/* Personal Life */ no need,false,ThuranX,20147,3682,12,1139779501,ThuranX,1118765320,Jeff_Moss,main,Brian Kendig,0,0,false,1258864212,1258864191,3,0
change,327233819,/* Restrictions on medical use by state */,true,74.5.108.230,1,1,0,20091122043120,67.176.92.227,1178848154,Legal_history_of_cannabis_in_the_United_States,main,Christopher Mann McKay,0,0,false,1258864280,1258710600,2,0
change,327233875,/* Career */,true,121.54.92.102,122,78,7,20091122043147,Fratrep,1154226235,Ricky_Reyes,main,Xken,0,0,false,1258864307,1252517395,1,0
change,327233884,Reverted edits by [[Special:Contributions/67.237.145.50|67.237.145.50]] to last revision by Katerenka ([[WP:HG|HG]]),false,4twenty42o,12798,9037,2,1225512906,67.237.145.50,1122842977,Werner_Mölders,main,Tabercil,1,0,true,1258864310,1258864293,54,0
change,327233987,"correction on ""end"" of tour performance: performed near the end of the tour",false,69.246.180.192,3,3,0,20091122043240,60.242.42.27,1073973988,The_River_(Bruce_Springsteen_album),main,RedWolf,0,0,false,1258864360,1258597619,1,0
