title,wikidata_qid,broad_topics
Mojesz,Q6895050,place
Live_at_Reading,Q1990678,literature
Paul_Moyer,Q7152642,celebrity
Night_of_the_Living_Dead_(1990_film),Q545417,film
Tré_Cool,Q660106,celebrity
All_About_Ah-Long,Q2837448,film
Scarf,Q191022,other
Fantasy_Black_Channel,Q5434280,literature
Doom_II,Q755186,other
Law_of_the_United_States,Q692218,other
USS_Enterprise_(NCC-1701),Q834003,other
Ra_(American_band),,other
Visual_design_elements_and_principles,Q1943363,other
2009–10_Montreal_Canadiens_season,Q3302110,sports
Near-close_near-back_rounded_vowel,Q1137807,other
Jeff_Moss,Q3765200,celebrity
Legal_history_of_cannabis_in_the_United_States,Q6517518,other
Ricky_Reyes,Q3935060,celebrity
Werner_Mölders,Q58641,celebrity
The_River_(Bruce_Springsteen_album),Q1340975,literature
Death_of_Michael_Jackson,Q761887,other
Barun_De,Q4865908,celebrity
Toni_Braxton,Q155412,celebrity
The_Twilight_Saga:_New_Moon,Q116928,film
"Lincoln,_Nebraska",Q28260,place
The_Twelve_Apostles_(Victoria),Q475623,place
"Union_City,_New_Jersey",Q588834,place
Joe_Jackson_(manager),,other
John_Lennon,Q1203,celebrity
Electronic_voting,Q926161,sports
