iter	Logloss
0	0.6121766288
1	0.5623673817
2	0.5182164558
3	0.4774152022
4	0.4460449043
5	0.4132720209
6	0.3929973899
7	0.3739012019
8	0.355189876
9	0.338600527
10	0.3235323013
11	0.3102455162
12	0.3037722226
13	0.2994807494
14	0.2918108188
15	0.2830327966
16	0.2766936467
17	0.2722294962
18	0.2664582683
19	0.2620005668
20	0.2591378981
21	0.2559392891
22	0.253659703
23	0.2503778864
24	0.2482681368
25	0.245723286
26	0.2443422011
27	0.2434968968
28	0.2412583755
29	0.2385493072
30	0.2373051793
31	0.2358868428
32	0.2345783859
33	0.2336901732
34	0.2320605956
35	0.2305421192
36	0.229266529
37	0.2287792087
38	0.2279181463
39	0.227038661
40	0.2265568238
41	0.2256391345
42	0.2250128217
43	0.2237998924
44	0.2234075352
45	0.2226691109
46	0.2216829562
47	0.2211667559
48	0.2206753478
49	0.2203961945
50	0.2192318129
51	0.2186353722
52	0.2177858379
53	0.2174525685
54	0.2167994487
55	0.2163157047
56	0.2159554388
57	0.215486384
58	0.2153274715
59	0.2147412564
60	0.2142435872
61	0.2140136651
62	0.213607533
63	0.2132427933
64	0.2127695589
65	0.2125281817
66	0.2121533876
67	0.2119100832
68	0.2115384844
69	0.2110856954
70	0.2108002289
71	0.2104798385
72	0.2100539912
73	0.2097072805
74	0.2093250521
75	0.2090798169
76	0.2087286201
77	0.208321972
78	0.2080490987
79	0.2078747557
80	0.2077160231
81	0.2075828568
82	0.2072404401
83	0.2071252676
84	0.2069871782
85	0.206482655
86	0.2062912335
87	0.2057957343
88	0.2055813279
89	0.2054118385
90	0.2052875359
91	0.2049829341
92	0.2048799806
93	0.2047355424
94	0.2045920138
95	0.2043711134
96	0.2042307266
97	0.203834134
98	0.2037805496
99	0.2035111174
100	0.2032927828
101	0.2031468165
102	0.2030398627
103	0.2029759657
104	0.2027763519
105	0.2026902831
106	0.2025971983
107	0.2023604502
108	0.2021368174
109	0.2017415858
110	0.2016571973
111	0.201580131
112	0.2015007123
113	0.2014338167
114	0.2013161123
115	0.2012049005
116	0.2010470588
117	0.2009322096
118	0.2007568346
119	0.2006919671
120	0.2006458096
121	0.2004775541
122	0.2003736741
123	0.2002681025
124	0.2001980568
125	0.2001377432
126	0.2000451242
127	0.1999633943
128	0.1997902419
129	0.1996902443
130	0.1995629585
131	0.1992867083
132	0.1992427059
133	0.199205661
134	0.1990723791
135	0.1990051001
136	0.1988295858
137	0.1987311879
138	0.1985057747
139	0.1983693009
140	0.1982183578
141	0.1980897421
142	0.1979865135
143	0.1978480947
144	0.1977936871
145	0.1977165471
146	0.1976713113
147	0.1975641216
148	0.1972931552
149	0.197124846
150	0.1970940807
151	0.1970027011
152	0.1968391765
153	0.1967768792
154	0.1966522076
155	0.1965043226
156	0.1964555234
157	0.1963953863
158	0.1962501889
159	0.1961787787
160	0.1959550683
161	0.1957641704
162	0.1956945027
163	0.1955934876
164	0.1955497365
165	0.1953728094
166	0.195281964
167	0.1951362651
168	0.1950345241
169	0.194942289
