iter	Passed	Remaining
0	4	4335
1	9	4122
2	13	3923
3	17	3891
4	21	3833
5	25	3844
6	28	3636
7	32	3662
8	35	3476
9	38	3469
10	43	3487
11	47	3499
12	50	3427
13	54	3446
14	58	3464
15	62	3461
16	66	3452
17	70	3470
18	75	3525
19	79	3519
20	83	3507
21	87	3513
22	92	3518
23	95	3503
24	99	3489
25	102	3444
26	104	3389
27	108	3386
28	112	3384
29	117	3405
30	121	3409
31	125	3420
32	130	3425
33	134	3430
34	138	3429
35	142	3434
36	147	3434
37	149	3387
38	153	3389
39	157	3390
40	161	3395
41	165	3392
42	170	3394
43	174	3402
44	178	3395
45	180	3363
46	184	3356
47	188	3346
48	192	3350
49	196	3352
50	199	3332
51	204	3332
52	208	3331
53	211	3317
54	215	3319
55	219	3313
56	224	3317
57	227	3313
58	230	3293
59	234	3289
60	238	3291
61	243	3292
62	247	3290
63	251	3292
64	256	3293
65	260	3297
66	264	3293
67	268	3292
68	273	3294
69	278	3302
70	282	3304
71	286	3302
72	290	3300
73	294	3296
74	299	3299
75	303	3296
76	307	3291
77	311	3285
78	315	3279
79	319	3278
80	323	3276
81	328	3276
82	332	3276
83	336	3273
84	339	3259
85	343	3256
86	346	3240
87	350	3239
88	355	3238
89	359	3236
90	363	3233
91	367	3227
92	371	3228
93	375	3225
94	380	3224
95	385	3229
96	389	3229
97	393	3227
98	398	3227
99	402	3227
100	407	3224
101	411	3222
102	415	3219
103	419	3214
104	423	3209
105	427	3203
106	430	3197
107	435	3196
108	439	3193
109	443	3191
110	448	3194
111	454	3200
112	458	3198
113	464	3203
114	468	3204
115	473	3202
116	475	3188
117	480	3188
118	484	3185
119	489	3183
120	492	3177
121	497	3177
122	502	3175
123	507	3178
124	511	3174
125	515	3170
126	519	3169
127	523	3163
128	528	3161
129	532	3156
130	537	3156
131	541	3153
132	545	3149
133	549	3142
134	552	3137
135	555	3124
136	559	3120
137	563	3115
138	566	3107
139	570	3103
140	574	3097
141	579	3095
142	583	3090
143	587	3086
144	590	3081
145	595	3077
146	599	3072
147	603	3069
148	607	3065
149	611	3063
150	615	3059
151	619	3054
152	623	3048
153	627	3044
154	631	3039
155	635	3034
156	639	3030
157	643	3026
158	647	3023
159	652	3020
160	656	3018
161	660	3013
162	664	3010
163	669	3009
164	671	2997
165	676	2993
166	679	2985
167	683	2982
168	688	2980
169	692	2976
170	697	2975
171	701	2971
172	704	2963
173	708	2960
174	712	2955
175	716	2952
176	719	2941
177	723	2939
178	727	2935
179	731	2931
180	736	2929
181	740	2925
182	744	2922
183	749	2920
184	753	2917
185	758	2913
186	762	2909
